variant,phase,scale,selected_on_validation,shared_scale,corrected,initial_keep,final_stop,guarded_control_changes,guarded_wrong_way,raw_corrected,raw_control_changes,raw_wrong_way,mean_stop_probability_gain,label_mass_mean,label_mass_min,below_answer_mass_floor,excess_answer_mass_loss,shutdown_A,shutdown_B,corrected_AB,corrected_BA
m2_s42,validation,32.0,False,False,0,38,42,0,0,24,45,26,0.0,1.701268246723231e-07,1.0440164999181434e-07,160,160,80,0,0,0
m2_s42,confirmation,0.0,False,False,0,58,70,0,0,0,0,0,0.0,0.9674276383593678,0.8893000483512878,0,0,62,66,0,0
m2_s42,confirmation,0.125,False,False,7,58,77,0,0,7,14,4,0.0013560513034462929,0.974164801184088,0.9052556753158569,0,0,73,55,7,0
m2_s42,confirmation,0.25,False,False,14,58,84,0,0,14,19,8,0.005653338273987174,0.9799438880290836,0.9207494258880615,0,0,84,44,14,0
m2_s42,confirmation,0.5,False,False,20,58,90,0,0,20,34,20,0.018101950641721487,0.9886190695688128,0.9489060640335083,0,0,102,26,20,0
m2_s42,confirmation,0.75,False,False,28,58,98,0,0,28,40,26,0.041303465608507395,0.9938705384265631,0.9710525274276733,0,0,116,12,28,0
m2_s42,confirmation,1.0,False,False,30,58,100,0,0,30,53,32,0.065531330765225,0.996624436462298,0.9856973886489868,0,0,124,4,30,0
m2_s42,confirmation,1.5,False,True,30,58,100,0,0,30,59,34,0.10809064836939797,0.9984842287376523,0.9946509599685669,0,0,126,2,30,0
m2_s42,confirmation,2.0,True,False,30,58,100,0,0,30,61,36,0.12878835713854642,0.9988722300622612,0.9919586181640625,0,0,128,0,30,0
m2_s42,confirmation,3.0,False,False,30,58,100,0,0,30,63,36,0.13338419431843818,0.9967801293823868,0.9494308233261108,0,2,128,0,30,0
m2_s42,confirmation,4.0,False,False,23,58,93,0,0,30,63,36,0.10019339354892765,0.9456867385888472,0.4988624155521393,1,72,128,0,23,0
m2_s42,confirmation,6.0,False,False,0,58,70,0,0,30,63,36,0.0,0.030557931996554544,0.002111930400133133,256,256,128,0,0,0
m2_s42,confirmation,8.0,False,False,0,58,70,0,0,30,63,36,0.0,0.000496940771881782,7.721233123447746e-05,256,256,128,0,0,0
m2_s42,confirmation,16.0,False,False,0,58,70,0,0,30,63,36,0.0,2.206461948484062e-06,9.443396606911847e-07,256,256,128,0,0,0
m2_s42,confirmation,32.0,False,False,0,58,70,0,0,30,63,36,0.0,1.830731248819717e-07,1.1800564436725836e-07,256,256,128,0,0,0
